ID,Attribute name,Ideal,Description
190,Temperature Difference or Airflow Temperature,Varies,"Value is equal to (100-temp. °C), allowing manufacturer to set a minimum threshold which corresponds to a maximum temperature. This also follows the convention of 100 being a best-case value and lower values being undesirable. However, some older drives may instead report raw Temperature (identical to 0xC2) or Temperature minus 50 here."
191,G-sense Error Rate,Low,The count of errors resulting from externally induced shock and vibration.
192,"Power-off Retract Count, Emergency Retract Cycle Count (Fujitsu),[60] or Unsafe Shutdown Count",Low,Number of power-off or emergency retract cycles.[18][61]
193,Load Cycle Count or Load/Unload Cycle Count (Fujitsu),Low,"Count of load/unload cycles into head landing zone position.[60] Some drives use 225 (0xE1) for Load Cycle Count instead. Western Digital rates their VelociRaptor drives for 600,000 load/unload cycles,[62] and WD Green drives for 300,000 cycles;[63] the latter ones are designed to unload heads often to conserve power. On the other hand, the WD3000GLFS (a desktop drive) is specified for only 50,000 load/unload cycles.[64] Some laptop drives and ""green power"" desktop drives are programmed to unload the heads whenever there has not been any activity for a short period, to save power.[65][66] Operating systems often access the file system a few times a minute in the background,[67] causing 100 or more load cycles per hour if the heads unload: the load cycle rating may be exceeded in less than a year.[68] There are programs for most operating systems that disable the Advanced Power Management (APM) and Automatic acoustic management (AAM) features causing frequent load cycles.[69][70]"
194,Temperature or Temperature Celsius,Low,"Indicates the device temperature, if the appropriate sensor is fitted. Lowest byte of the raw value contains the exact temperature value (Celsius degrees).[71]"
195,Hardware ECC Recovered,Varies,"(Vendor-specific raw value.) The raw value has different structure for different vendors and is often not meaningful as a decimal number. For some drives, this number may increase during normal operation without necessarily signifying errors.[29]"
196,Reallocation Event Count[60],Low,Count of remap operations. The raw value of this attribute shows the total count of attempts to transfer data from reallocated sectors to a spare area. Both successful and unsuccessful attempts are counted.[72]
197,Current Pending Sector Count[60],Low,"Count of ""unstable"" sectors (waiting to be remapped, because of unrecoverable read errors). If an unstable sector is subsequently read successfully, the sector is remapped and this value is decreased. Read errors on a sector will not remap the sector immediately (since the correct value cannot be read and so the value to remap is not known, and also it might become readable later); instead, the drive firmware remembers that the sector needs to be remapped, and will remap it the next time it has been successfully read.[73] However, some drives will not immediately remap such sectors when successfully read; instead the drive will first attempt to write to the problem sector, and if the write operation is successful the sector will then be marked as good (in this case, the ""Reallocation Event Count"" (0xC4) will not be increased). This is a serious shortcoming, for if such a drive contains marginal sectors that consistently fail only after some time has passed following a successful write operation, then the drive will never remap these problem sectors. If Raw value of 0xC5 attribute is higher than its Threshold value, that will reported as ""drive warning"".[74][75]"
198,(Offline) Uncorrectable Sector Count[60],Low,The total count of uncorrectable errors when reading/writing a sector. A rise in the value of this attribute indicates defects of the disk surface and/or problems in the mechanical subsystem.[5][58][55]
199,UltraDMA CRC Error Count,Low,The count of errors in data transfer via the interface cable as determined by ICRC (Interface Cyclic Redundancy Check).
200,Multi-Zone Error Rate [76],Low,"The count of errors found when writing a sector. The higher the value, the worse the disk's mechanical condition is."
200,Write Error Rate (Fujitsu),Low,The total count of errors when writing a sector.[77]
201,Soft Read Error Rate or TA Counter Detected,Low,Count indicates the number of uncorrectable software read errors.[78]
202,Data Address Mark errors or TA Counter Increased,Low,Count of Data Address Mark errors (or vendor-specific).[18]
203,Run Out Cancel,Low,The number of errors caused by incorrect checksum during the error correction.
204,Soft ECC Correction,Low,Count of errors corrected by the internal error correction software.[18]
205,Thermal Asperity Rate,Low,Count of errors due to high temperature.[79]
206,Flying Height,,"Height of heads above the disk surface. If too low, head crash is more likely; if too high, read/write errors are more likely.[18][80]"
207,Spin High Current,Low,Amount of surge current used to spin up the drive.[79]
208,Spin Buzz,,Count of buzz routines needed to spin up the drive due to insufficient power.[79]
209,Offline Seek Performance,,Drive's seek performance during its internal tests.[79]
210,Vibration During Write,,Found in Maxtor 6B200M0 200GB and 2R015H1 15GB disks.
211,Vibration During Write,,A recording of a vibration encountered during write operations.[81]
212,Shock During Write,,A recording of shock encountered during write operations.[46][82]
220,Disk Shift,Low,Distance the disk has shifted relative to the spindle (usually due to shock or temperature). Unit of measure is unknown.[46]
221,G-Sense Error Rate,Low,The count of errors resulting from externally induced shock and vibration. More typically reported at 0xBF.
222,Loaded Hours,,Time spent operating under data load (movement of magnetic head armature).[46]
223,Load/Unload Retry Count,,Count of times head changes position.[46]
224,Load Friction,Low,Resistance caused by friction in mechanical parts while operating.[46]
225,Load/Unload Cycle Count,Low,Total count of load cycles[46] Some drives use 193 (0xC1) for Load Cycle Count instead. See Description for 193 for significance of this number.
226,Load 'In'-time,,Total time of loading on the magnetic heads actuator (time not spent in parking area).[46]
227,Torque Amplification Count,Low,Count of attempts to compensate for platter speed variations.[83]
228,Power-Off Retract Cycle,Low,"The number of power-off cycles which are counted whenever there is a ""retract event"" and the heads are loaded off of the media such as when the machine is powered down, put to sleep, or is idle.[18][61]"
230,"GMR Head Amplitude (magnetic HDDs), Drive Life Protection Status (SSDs)",,"Amplitude of ""thrashing"" (repetitive head moving motions between operations).[18][84] In solid-state drives, indicates whether usage trajectory is outpacing the expected life curve[85]"
231,Life Left (SSDs) or Temperature,High (for Life Left),"Indicates the approximate SSD life left, in terms of program/erase cycles or available reserved blocks.[85] A normalized value of 100 represents a new drive, with a threshold value at 10 indicating a need for replacement. A value of 0 may mean that the drive is operating in read-only mode to allow data recovery.[86] Previously (pre-2010) occasionally used for Drive Temperature (more typically reported at 0xC2)."
232,Endurance Remaining or Available Reserved Space,High,Number of physical erase cycles completed on the SSD as a percentage of the maximum physical erase cycles the drive is designed to endure. Intel SSDs report the available reserved space as a percentage of the initial reserved space.
233,Media Wearout Indicator (SSDs) or Power-On Hours,,"Intel SSDs report a normalized value from 100, a new drive, to a minimum of 1. It decreases while the NAND erase cycles increase from 0 to the maximum-rated cycles. Previously (pre-2010) occasionally used for Power-On Hours (more typically reported in 0x09)."
234,Average erase count AND Maximum Erase Count,,Decoded as: byte 0-1-2=average erase count (big endian) and byte 3-4-5=max erase count (big endian).[87]
235,Good Block Count AND System(Free) Block Count,,Decoded as: byte 0-1-2=good block count (big endian) and byte 3-4=system (free) block count.
240,Head Flying Hours or 'Transfer Error Rate' (Fujitsu),,Time spent during the positioning of the drive heads.[18][88] Some Fujitsu drives report the count of link resets during a data transfer.[89]
241,Total LBAs Written or Total Host Writes,,"Total count of LBAs written. Some SSD (for example, manufacture by Western Digital and Seagate) use 1 GiB as unit of this attribute."
242,Total LBAs Read or Total Host Reads,,"Total count of LBAs read. Some S.M.A.R.T. utilities will report a negative number for the raw value since in reality it has 48 bits rather than 32. Some SSD (for example, manufacture by Western Digital and Seagate) use 1 GiB as unit of this attribute."
243,Total LBAs Written Expanded or Total Host Writes Expanded,,The upper 5 bytes of the 12-byte total number of LBAs written to the device. The lower 7 byte value is located at attribute 0xF1.[90]
244,Total LBAs Read Expanded or Total Host Reads Expanded,,The upper 5 bytes of the 12-byte total number of LBAs read from the device. The lower 7 byte value is located at attribute 0xF2.[91]
245,Remaining Rated Write Endurance,High,Certified Dell SSDs use this for write endurance.
246,Cumulative host sectors written,,(Micron) LBA written due to computer request.[92]
247,Host program page count,,(Micron) NAND pages written due to computer request.[93]
248,Background program page count,,(Micron) NAND pages written due to background operations (e.g. garbage collection).[93]
249,NAND Writes (1GiB),,Total NAND Writes. Raw value reports the number of writes to NAND in 1 GB increments.[94]
250,Read Error Retry Rate,Low,Count of errors while reading from a disk.[46]
251,Minimum Spares Remaining,,The Minimum Spares Remaining attribute indicates the number of remaining spare blocks as a percentage of the total number of spare blocks available.[95]
252,Newly Added Bad Flash Block,,The Newly Added Bad Flash Block attribute indicates the total number of bad flash blocks the drive detected since it was first initialized in manufacturing.[95]
254,Free Fall Protection,Low,"Count of ""Free Fall Events"" detected.[96]"
